  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
  4.8633 263.9523  913.733    1  4.0105E-02  6.6842E-04
  4.6272 265.8650  745.696    2  8.8780E-02  2.1481E-03
  4.3859 267.7763  603.604    3  1.9302E-01  5.3651E-03
  4.1398 269.6864  484.281    4  4.1039E-01  1.2205E-02
  3.8890 271.5954  384.813    5  7.7423E-01  2.5109E-02
  3.6339 273.5032  302.575    6  1.2822E+00  4.6479E-02
  3.4370 274.5280  267.166    7  1.5746E+00  7.2722E-02
  3.3014 274.6708  267.166    8  1.5733E+00  9.8943E-02
  3.1657 274.8135  267.166    9  1.5720E+00  1.2514E-01
  3.0300 274.9561  267.166   10  1.5707E+00  1.5132E-01
  2.8944 275.0988  267.166   11  1.5696E+00  1.7748E-01
  2.7586 275.2413  267.166   12  1.5686E+00  2.0363E-01
  2.6229 275.3839  267.166   13  1.5676E+00  2.2975E-01
  2.4872 275.5264  267.166   14  1.5667E+00  2.5586E-01
  2.3514 275.6689  267.166   15  1.5658E+00  2.8196E-01
  1.6890 275.7402  258.946   16  1.6342E+00  3.0920E-01
  0.5000 275.7402  243.121   17  1.7723E+00  3.3874E-01
 -0.6890 275.7402  228.084   18  1.9110E+00  3.7059E-01
 -1.7689 289.1926  220.891   19  1.9823E+00  4.0362E-01
 -2.4251 316.1156  220.891   20  1.9525E+00  4.3617E-01
 -2.5525 343.0536  220.891   21  1.9615E+00  4.6886E-01
 -2.5380 356.8995  274.944   22  1.4484E+00  4.9300E-01
 -2.8054 357.6554  415.311   23  6.1421E-01  5.0324E-01
 -3.0723 358.4116  608.793   24  1.8094E-01  5.0625E-01
 -3.3387 359.1682  869.552   25  4.7519E-02  5.0704E-01
 GCR MODEL   4  TRANSPORT AND CUTOFFS: 0   SUPERPOSITION:   0
 DATE: 2002/01/00 HOUR:            0
 5.0704E-01 TOTAL          microSv, ICRP Pub. 103 EFFECTIVE DOSE 
