  LAT(N)   LON(E)   DEPTH   STEP  DOSE RATE  TOTAL DOSE
  4.8633 263.9523  913.733    1  1.7831E-03  2.9719E-05 2002    1    0    0    0
  4.6272 265.8650  745.696    2  6.3550E-03  1.3563E-04 2002    1    0    0    0
  4.3859 267.7763  603.604    3  1.7418E-02  4.2593E-04 2002    1    0    0    0
  4.1398 269.6864  484.281    4  4.1601E-02  1.1193E-03 2002    1    0    0    0
  3.8890 271.5954  384.813    5  8.2641E-02  2.4966E-03 2002    1    0    0    0
  3.6339 273.5032  302.575    6  1.4345E-01  4.8875E-03 2002    1    0    0    0
  3.4370 274.5280  267.166    7  1.8023E-01  7.8912E-03 2002    1    0    0    0
  3.3014 274.6708  267.166    8  1.8000E-01  1.0891E-02 2002    1    0    0    0
  3.1657 274.8135  267.166    9  1.7977E-01  1.3887E-02 2002    1    0    0    0
  3.0300 274.9561  267.166   10  1.7955E-01  1.6880E-02 2002    1    0    0    0
  2.8944 275.0988  267.166   11  1.7936E-01  1.9869E-02 2002    1    0    0    0
  2.7586 275.2413  267.166   12  1.7919E-01  2.2856E-02 2002    1    0    0    0
  2.6229 275.3839  267.166   13  1.7902E-01  2.5839E-02 2002    1    0    0    0
  2.4872 275.5264  267.166   14  1.7885E-01  2.8820E-02 2002    1    0    0    0
  2.3514 275.6689  267.166   15  1.7869E-01  3.1798E-02 2002    1    0    0    0
  1.6890 275.7402  258.946   16  1.8732E-01  3.4920E-02 2002    1    0    0    0
  0.5000 275.7402  243.121   17  2.0520E-01  3.8340E-02 2002    1    0    0    0
 -0.6890 275.7402  228.084   18  2.2386E-01  4.2071E-02 2002    1    0    0    0
 -1.7689 289.1926  220.891   19  2.3391E-01  4.5970E-02 2002    1    0    0    0
 -2.4251 316.1156  220.891   20  2.2838E-01  4.9776E-02 2002    1    0    0    0
 -2.5525 343.0536  220.891   21  2.3005E-01  5.3610E-02 2002    1    0    0    0
 -2.5380 356.8995  274.944   22  1.6140E-01  5.6300E-02 2002    1    0    0    0
 -2.8054 357.6554  415.311   23  6.3575E-02  5.7360E-02 2002    1    0    0    0
 -3.0723 358.4116  608.793   24  1.6045E-02  5.7627E-02 2002    1    0    0    0
 -3.3387 359.1682  869.552   25  2.4112E-03  5.7668E-02 2002    1    0    0    0
 GCR MODEL   3  TRANSPORT AND CUTOFFS: 0   SUPERPOSITION:   0
 DATE: 2002/01/00 HOUR:            0
 5.7668E-02 PROTONS        microSv, ICRP Pub. 103 EFFECTIVE DOSE 
